bill.names,bill.labels,bill.id
Projet du règlement intérieur de l'Assemblée des Représentants du Peuple - Proposition d'amendement relatif à la reformulation du paragraphe 3 de l'article 26,,1738
Projet de loi organique N°16/2015 relatif au Conseil Supérieur de la Magistrature - Amendement N°6 relatif à l'article 9,,1739
Projet de loi organique N°16/2015 relatif au Conseil Supérieur de la Magistrature - Amendement N°1 relatif à l'article 25,,1740
"Projet du règlement intérieur de l'Assemblée des Représentants du Peuple - Proposition d'amendement relatif au remplacement de ""Sept membres"" par ""Dix membres"" pour la formation d'un groupe au sein de l'article 34",,1741
"Projet du règlement intérieur de l'Assemblée des Représentants du Peuple - Proposition d'amendement relatif à la suppression des paragraphes 2, 3 et 4 de l'article 26",,1742
Projet du règlement intérieur de l'Assemblée des Représentants du Peuple - Proposition d'amendement relatif à un ajout au paragraphe 3 de l'article 26,,1743
"Projet du règlement intérieur de l'Assemblée des Représentants du Peuple - Proposition d'ajout d'article au projet du règlement intérieur de la part des élus Jamila Jouini, Habib Khedher, Oussama Al Saghir, Ramzi Ben Fraj, Kalthoum Badreddine: Définition de l'opposition",,1744
"Projet du règlement intérieur de l'Assemblée des Représentants du Peuple - Proposition d'ajout d'article au projet du règlement intérieur de la part des élus Imed Daimi, Ibrahim Ben Said, Sabri Dkhil, Samia Abbou, Mabrouk Hrizi, Ghazi Chaouachi: Définition de l'opposition",,1745
Vote de confiance au gouvernement de Habib Essid,,1746
Projet du règlement intérieur de l'Assemblée des Représentants du Peuple - Vote sur le projet du règlement intérieur dans sa totalité,Règlement intérieur et l’immunité,1747
"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée des groupes parlementaires opposants uniquement ?",,1748
Projet de loi N°65/2014 portant approbation du mémorandum d'accord conclu le 29 août 2014 et la convention de prêt conclu le 8 septembre 2014 entre le Gouvernement de la République tunisienne et l'Union Européenne - Projet de loi dans sa totalité,Emprunts et engagements financiers de l’Etat,1749
Projet de loi N°65/2014 portant approbation du mémorandum d'accord conclu le 29 août 2014 et la convention de prêt conclu le 8 septembre 2014 entre le Gouvernement de la République tunisienne et l'Union Européenne - Principe de passage au vote sur les articles,,1750
Projet de loi N°65/2014 portant approbation du mémorandum d'accord conclu le 29 août 2014 et la convention de prêt conclu le 8 septembre 2014 entre le Gouvernement de la République tunisienne et l'Union Européenne - Article unique,,1751
Projet de loi N°62/2014 portant approbation de l'accord de prêt conclu le 24 juin 2014 entre le gouvernement de la République Tunisienne et le fonds arabe pour le développement économique et social (FADES) pour la contribution au financement du projet « barrage Mellègue supérieur » - Principe de passage au vote sur les articles,,1752
Projet de loi N°62/2014 portant approbation de l'accord de prêt conclu le 24 juin 2014 entre le gouvernement de la République Tunisienne et le fonds arabe pour le développement économique et social (FADES) pour la contribution au financement du projet « barrage Mellègue supérieur » - Article unique,,1753
Projet de loi N°62/2014 portant approbation de l'accord de prêt conclu le 24 juin 2014 entre le gouvernement de la République Tunisienne et le fonds arabe pour le développement économique et social (FADES) pour la contribution au financement du projet « barrage Mellègue supérieur » - Projet de loi dans sa totalité,Emprunts et engagements financiers de l’Etat,1754
Projet de loi N°68/2014 portant approbation d'un échange de notes entre le gouvernement de la République tunisienne et le gouvernement du Japon relatif au projet de protection du bassin d'Oued Mejerda des inondations et de la convention de crédit entre le gouvernement de la République tunisienne et l'Agence Japonaise de Coopération Internationale - Principe de passage au vote sur les articles,,1755
Projet de loi organique N°16/2015 relatif au Conseil Supérieur de la Magistrature - Amendement N°5 relatif à l'article 9,,1756
Projet de loi organique N°16/2015 relatif au Conseil Supérieur de la Magistrature - Amendement N°2 relatif à l'article 25,,1757
Projet de loi N°68/2014 portant approbation d'un échange de notes entre le gouvernement de la République tunisienne et le gouvernement du Japon relatif au projet de protection du bassin d'Oued Mejerda des inondations et de la convention de crédit entre le gouvernement de la République tunisienne et l'Agence Japonaise de Coopération Internationale - Article unique,,1758
Projet de loi N°68/2014 portant approbation d'un échange de notes entre le gouvernement de la République tunisienne et le gouvernement du Japon relatif au projet de protection du bassin d'Oued Mejerda des inondations et de la convention de crédit entre le gouvernement de la République tunisienne et l'Agence Japonaise de Coopération Internationale - Projet de loi dans sa totalité,Échanges,1759
Projet de loi N°08/2015 fixant des exemptions de la taxe de sortie du territoire tunisien - Principe de passage au vote sur les articles,,1760
Projet de loi N°08/2015 fixant des exemptions de la taxe de sortie du territoire tunisien - Amendement relatif à l'article unique,,1761
Projet de loi N°08/2015 fixant des exemptions de la taxe de sortie du territoire tunisien - Article unique,,1762
Projet de loi N°08/2015 fixant des exemptions de la taxe de sortie du territoire tunisien - Projet de loi dans sa totalité,Impôts et fiscalité locale et nationale,1763
Projet de loi N°63/2014 portant approbation de la convention de garantie conclue le 26 juin 2014 entre le gouvernement de la République Tunisienne et la Société Internationale Islamique de Financement du Commerce et relative à la convention de Mourabaha conclue entre la Société Tunisienne de Sidérurgie «El Fouladh» et la Société Internationale Islamique de Financement du Commerce pour le financement des importations de matières premières - Principe de passage au vote sur les articles,,1764
Projet de loi N°63/2014 portant approbation de la convention de garantie conclue le 26 juin 2014 entre le gouvernement de la République Tunisienne et la Société Internationale Islamique de Financement du Commerce et relative à la convention de Mourabaha conclue entre la Société Tunisienne de Sidérurgie «El Fouladh» et la Société Internationale Islamique de Financement du Commerce pour le financement des importations de matières premières - Article unique,,1765
Projet de loi N°63/2014 portant approbation de la convention de garantie conclue le 26 juin 2014 entre le gouvernement de la République Tunisienne et la Société Internationale Islamique de Financement du Commerce et relative à la convention de Mourabaha conclue entre la Société Tunisienne de Sidérurgie «El Fouladh» et la Société Internationale Islamique de Financement du Commerce pour le financement des importations de matières premières - Projet de loi dans sa totalité,Emprunts et engagements financiers de l’Etat,1766
"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée conjointement des groupes parlementaires opposants et des députés opposants ?",,1767
Projet de loi N°13/2015 portant approbation de la convention de prêt conclue à Tunis le 19 Décembre 2014 entre le Gouvernement de la République Tunisienne et la Banque Allemande pour la Reconstruction (KFW) pour la contribution au financement du projet de modernisation des établissements scolaires - Principe de passage au vote sur les articles,,1768
Projet de loi N°13/2015 portant approbation de la convention de prêt conclue à Tunis le 19 Décembre 2014 entre le Gouvernement de la République Tunisienne et la Banque Allemande pour la Reconstruction (KFW) pour la contribution au financement du projet de modernisation des établissements scolaires - Article unique,,1769
Projet de loi N°13/2015 portant approbation de la convention de prêt conclue à Tunis le 19 Décembre 2014 entre le Gouvernement de la République Tunisienne et la Banque Allemande pour la Reconstruction (KFW) pour la contribution au financement du projet de modernisation des établissements scolaires - Projet de loi dans sa totalité,Emprunts et engagements financiers de l’Etat,1770
Projet de loi N°14/2015 portant approbation du contrat de financement conclu à Tunis le 19 juin 2014 entre le Gouvernement de la République Tunisienne et la Banque Européenne d’Investissement pour la contribution au financement du projet de modernisation des établissements scolaires - Principe de passage au vote sur les articles,,1771
Projet de loi N°14/2015 portant approbation du contrat de financement conclu à Tunis le 19 juin 2014 entre le Gouvernement de la République Tunisienne et la Banque Européenne d’Investissement pour la contribution au financement du projet de modernisation des établissements scolaires - Article unique,,1772
Projet de loi N°14/2015 portant approbation du contrat de financement conclu à Tunis le 19 juin 2014 entre le Gouvernement de la République Tunisienne et la Banque Européenne d’Investissement pour la contribution au financement du projet de modernisation des établissements scolaires - Projet de loi dans sa totalité,Emprunts et engagements financiers de l’Etat,1773
Projet de loi N°74/2013 relatif à la production de l'électricité à partir des énergies renouvelables (Réexamen de 3 articles inconstitutionnels) - Renvoi du projet de loi en commission - Séance plénière du 01 Avril 2015,,1774
Projet de loi N°10/2015 portant approbation de l’accord de prêt conclu le 28 Novembre 2014 entre le Gouvernement de la République Tunisienne et la Banque Africaine de Développement pour la contribution au financement du projet de développement agricole intégré de Gabès II - Principe de passage au vote sur les articles,,1775
Projet de loi N°10/2015 portant approbation de l’accord de prêt conclu le 28 Novembre 2014 entre le Gouvernement de la République Tunisienne et la Banque Africaine de Développement pour la contribution au financement du projet de développement agricole intégré de Gabès II - Article unique,,1776
Projet de loi N°10/2015 portant approbation de l’accord de prêt conclu le 28 Novembre 2014 entre le Gouvernement de la République Tunisienne et la Banque Africaine de Développement pour la contribution au financement du projet de développement agricole intégré de Gabès II - Projet de loi dans sa totalité,Emprunts et engagements financiers de l’Etat,1777
Projet de loi N°11/2015 portant approbation de la convention de garantie conclue le 20 novembre 2014 entre le Gouvernement de la République Tunisienne et la Société Internationale Islamique de Financement du Commerce et relative à la convention de Mourabaha conclue entre la Société Tunisienne des Industries de Raffinage et la Société Internationale Islamique de Financement du Commerce pour le financement des importations de pétrole brut et de produits pétroliers - Principe de passage au vote sur les articles,,1778
Projet de loi N°11/2015 portant approbation de la convention de garantie conclue le 20 novembre 2014 entre le Gouvernement de la République Tunisienne et la Société Internationale Islamique de Financement du Commerce et relative à la convention de Mourabaha conclue entre la Société Tunisienne des Industries de Raffinage et la Société Internationale Islamique de Financement du Commerce pour le financement des importations de pétrole brut et de produits pétroliers - Article unique,,1779
Projet de loi N°11/2015 portant approbation de la convention de garantie conclue le 20 novembre 2014 entre le Gouvernement de la République Tunisienne et la Société Internationale Islamique de Financement du Commerce et relative à la convention de Mourabaha conclue entre la Société Tunisienne des Industries de Raffinage et la Société Internationale Islamique de Financement du Commerce pour le financement des importations de pétrole brut et de produits pétroliers - Projet de loi dans sa totalité,Emprunts et engagements financiers de l’Etat,1780
Projet de loi N°67/2014 portant approbation d'un échange de notes entre le gouvernement de la République tunisienne et le gouvernement du Japon relatif au financement du projet de construction d'une centrale électrique à cycle combiné à Rades et la lettre de garantie de crédit relative à l'accord signé entre l'Agence Japonaise de Coopération Internationale et la Société Tunisienne d'Electricité et de Gaz - Principe de passage au vote sur les articles,,1781
Projet de loi N°67/2014 portant approbation d'un échange de notes entre le gouvernement de la République tunisienne et le gouvernement du Japon relatif au financement du projet de construction d'une centrale électrique à cycle combiné à Rades et la lettre de garantie de crédit relative à l'accord signé entre l'Agence Japonaise de Coopération Internationale et la Société Tunisienne d'Electricité et de Gaz - Amendement relatif à l'article unique,,1782
Projet de loi N°67/2014 portant approbation d'un échange de notes entre le gouvernement de la République tunisienne et le gouvernement du Japon relatif au financement du projet de construction d'une centrale électrique à cycle combiné à Rades et la lettre de garantie de crédit relative à l'accord signé entre l'Agence Japonaise de Coopération Internationale et la Société Tunisienne d'Electricité et de Gaz - Article unique,,1783
Projet de loi N°67/2014 portant approbation d'un échange de notes entre le gouvernement de la République tunisienne et le gouvernement du Japon relatif au financement du projet de construction d'une centrale électrique à cycle combiné à Rades et la lettre de garantie de crédit relative à l'accord signé entre l'Agence Japonaise de Coopération Internationale et la Société Tunisienne d'Electricité et de Gaz - Projet de loi dans sa totalité,Échanges,1784
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Principe de passage au vote sur les articles,,1785
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Titre du projet de loi,,1786
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article premier,,1787
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 2,,1788
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 3,,1789
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 4,,1790
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 5,,1791
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 6,,1792
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Amendement N°1 de l'article 7,,1793
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Amendement N°2 de l'article 7,,1794
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 7,,1795
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 8,,1796
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 9,,1797
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 10,,1798
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 11,,1799
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 12,,1800
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir - Article 13,,1801
