ANC_bill_names,id
Arrêté présidentiel portant destitution du gouverneur en poste de la banque centrale de Tunisie,1
Vote pour l'approbation de la nomination de Chadly Ayari comme nouveau gouverneur de la banque centrale,2
Vote sur l'article 1er relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,3
Vote sur le 3ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,4
Vote sur le 4ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,5
Vote sur le 5ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,6
Vote sur le 7ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,7
Vote sur le 9ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,8
Vote sur le 10ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,9
Vote sur le 11ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,10
Vote sur le 12ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,11
Vote sur le 13ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,12
Vote sur le 14ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,13
Vote concernant le projet de loi N°72/2012 relatif à la ratification de l'accord du prêt complémentaire signé à Washington entre le gouvernement tunisien et la Banque Mondiale pour la reconstruction et l'approvisionnement du deuxième programme pour l'appui à l'économie tunisienne.,14
Vote concernant le projet de loi N°71/2012 relatif à la ratification de l'accord du prêt entre le gouvernement tunisien et la Banque Africaine de Développement pour la participation dans le programme d'appui à l'économie tunisienne et au développement participatif,15
Vote sur l'article 16 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,16
Vote sur l'article 17 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,17
Vote sur le 15ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,18
Vote sur l'article 18 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,19
Vote sur le 19ème article relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,20
Vote sur l'article 20 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,21
Vote sur l'article 22 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,22
Vote sur l'article 23 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,23
 Vote sur l'article 24 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,24
Vote sur l'article 28 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,25
Vote sur l'article 21 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,26
 Vote sur l'article 25 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,27
Vote sur l'article 26 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,28
Vote sur l'article 27 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,29
Article 30 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,30
Vote sur l'article 29 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,31
Vote sur l'article 31 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,32
Vote sur l'article 33 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,33
Vote sur l'article 34 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,34
Vote sur l'article 35 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,35
Vote sur l'article 36 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,36
Vote sur l'article 32 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,37
Vote sur l'article 6 relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections,38
Vote sur l'article ajouté relatif au projet de loi organique portant création de l'instance supérieure indépendante pour les élections ,39
vote sur l'integralité de  projet de loi organique portant création de l'instance supérieure indépendante pour les élections ,40
Vote sur le projet de loi N°48/2012 relatif à une convention de rachat,41
Le projet de loi numéro 2012/65 avec la révision et l'achèvement de certaines dispositions de la loi n ° 1 pour l'année 2012 du 16 mai 2012 sur la loi de finances complémentaire pour l'année 2012.,42
Vote pour la nomination de Ilyas Fakhfakh à la tête du ministère des finances,43
Vote sur le budget de la présidence de la république pour l'année 2013,44
Vote sur le budget du ministère de la Défense pour l''année 2013.,45
Vote sur le budget du ministère des Finances pour l'année 2013.,46
Vote sur le budget du Ministère du Développement Régional et de la Planification pour l'année 2013.,47
Vote sur le budget du Ministère de l'Agriculture pour l'année 2013.,48
Vote sur le budget du Ministère de l’Environnement pour l'année 2013.,49
Vote sur le budget du Ministère du Commerce et de l'Artisanat pour l'année 2013,50
Vote sur le budget du Ministère des Technologies de l'Information et de la Communication pour l'année 2013.,51
Vote sur le budget du Ministère du Tourisme pour l'année 2013.,52
Vote sur le budget du Ministère de l'Emploi et de la Formation Professionnelle pour l'année 2013,53
Vote sur le budget du Ministère du Transport pour l'année 2013.,54
Vote sur le budget du Ministère de la Femme et de la Famille pour l'année 2013.,55
Vote sur le budget du Ministère de la Culture pour l'année 2013.,56
Vote sur le budget du Ministère des Affaires Sociales pour l'année 2013.,57
Vote sur le budget du Ministère de l'Éducation pour l'année 2013.,58
Vote sur le budget de l'Assemblée Nationale Constituante pour l'année 2013.,59
