id,nom,sexe,date,ville,pays,profession,categorie,liste,bloc
547d62aa12bdaa5876a2b3ba,Salma Elloumi,F,1956-06-05 0:00:00,,Tunisie,Directrice Générale d'une société industrielle,Chef d'entreprise,Mouvement Nidaa Tounes,Aucun bloc
547d62a912bdaa5876a2b2b8,Karim Helali,H,1970-05-06 0:00:00,Ariana,Tunisie,Magistrat,Magistrat,Afek Tounes,"Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger"
547d62a912bdaa5876a2b2ba,Mohamed Ghannem,H,1955-05-27 0:00:00,Kairouan,Tunisie,Médecin cardiologue,Médecin ,Afek Tounes,"Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger"
547d62a912bdaa5876a2b2bc,Yassine Brahim,H,1966-02-20 0:00:00,Bizerte,Tunisie,Homme d'affaires,Chef d'entreprise,Afek Tounes,Aucun bloc
547d62a912bdaa5876a2b2be,Ali Bennour,H,1953-12-29 0:00:00,Bekalta,Tunisie,Acteur professionnel,Artiste,Afek Tounes,"Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger"
547d62a912bdaa5876a2b2c0,Noomane Fehri,H,1965-08-06 0:00:00,"El Mida, Nabeul",Tunisie,Directeur Général et fondateur d'un cabinet de conseil international,Chef d'entreprise,Afek Tounes,Aucun bloc
547d62a912bdaa5876a2b2c2,Mohamed Anouar Adhar,H,1958-10-19 0:00:00,Sfax,Tunisie,Ingénieur dans une société,Ingénieur ,Afek Tounes,"Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger"
547d62a912bdaa5876a2b2c4,Hafedh Zouari,H,1963-03-18 0:00:00,"Kalâa Kebira, Sousse",Tunisie,Homme d'affaires,Chef d'entreprise,Afek Tounes,"Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger"
547d62a912bdaa5876a2b2c6,Riadh Mouakhar,H,1963-07-31 0:00:00,Sfax,Tunisie,Médecin,Médecin ,Afek Tounes,"Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger"
547d62a912bdaa5876a2b2c8,Iyad Dahmani,H,1977-09-13 0:00:00,,Tunisie,Journaliste,Journaliste,Al Jomhouri,Bloc Social-Démocrate
547d62a912bdaa5876a2b2ca,Mehdi Ben Gharbia,H,1973-06-19 0:00:00,Tunis,Tunisie,Homme d'affaires,Chef d'entreprise,Alliance Démocratique,Bloc Social-Démocrate
547d62a912bdaa5876a2b2cc,Sabri Dekhil,H,1967-08-14 0:00:00,,,Médecin spécialiste,Médecin ,Congrès Pour la République,Aucun bloc
547d62a912bdaa5876a2b2ce,Mabrouk Hrizi,H,1976-10-30 0:00:00,Sbeitla,Tunisie,Juriste,Non catégorisé,Congrès Pour la République,Aucun bloc
